operator_id,route_id
362,225
362,1674
362,224
362,6486
362,1680
362,6062
362,242
362,1689
362,2152
362,240
362,3527
362,3526
362,5221
362,5701
362,6326
362,5703
362,4618
362,284
362,2436
362,1360
362,6306
362,4636
362,4637
362,6304
362,4638
362,4639
362,6305
362,1347
362,2455
362,305
362,304
362,307
362,2475
362,306
362,4642
362,4641
362,4640
362,4658
362,6284
362,6285
362,6286
362,4656
362,1380
362,4056
362,1860
362,1306
362,4677
362,4195
362,1310
362,338
362,337
362,336
362,1298
362,3466
362,1296
362,1303
362,347
362,6386
362,1302
362,346
362,345
362,1301
362,344
362,1300
362,327
362,1291
362,324
362,1288
362,325
362,1294
362,1292
362,1293
362,334
362,4696
362,335
362,332
362,333
362,1281
362,331
362,1284
362,328
362,1338
362,6366
362,369
362,1343
362,370
362,4162
362,1342
362,1329
362,1331
362,2535
362,1335
362,1809
362,1804
362,1323
362,1324
362,1803
362,1326
362,1327
362,364
362,366
362,1316
362,1317
362,1318
362,2032
362,6202
362,6686
362,1501
362,3423
362,6182
362,4757
362,386
362,385
362,4759
362,384
362,6666
362,388
362,6162
362,3918
362,446
362,3917
362,5321
362,424
362,4796
362,1504
362,1992
362,6263
362,3336
362,3331
362,6264
362,3332
362,3333
362,1953
362,1952
362,2395
362,4837
362,4315
362,6223
484,3051
484,2917
484,2767
484,2435
484,1727
484,3361
484,3362
484,2982
484,243
483,2835
483,1724
482,5183
482,2698
482,3010
482,1721
422,2989
422,1767
422,2745
422,1771
422,1770
422,1769
422,2983
422,1768
422,1775
422,1774
422,1773
422,6446
422,1772
422,1778
422,1779
422,3006
422,1776
422,1777
422,1782
422,1783
422,1780
422,1781
422,4275
422,1786
422,1787
422,1784
422,1790
422,1791
422,2721
422,1788
422,4095
422,1789
422,2995
422,3427
422,2837
422,4055
422,2133
422,3097
422,2677
422,2683
422,3095
422,4215
422,2656
422,1289
422,2112
422,2787
422,1668
422,1671
422,3017
422,1551
422,1665
422,1664
422,1666
422,1672
422,2763
422,3239
422,1560
422,2766
422,1557
422,1556
422,1553
422,2757
422,1552
422,1792
422,2273
422,1554
422,1793
583,6606
583,1520
583,2713
583,1502
583,1739
583,1738
583,3127
583,3126
583,2974
583,2793
583,3106
583,365
583,6546
583,2722
462,2991
462,2749
462,2915
462,2679
462,3054
462,3004
462,2657
462,3003
462,1480
462,3079
462,2779
462,371
462,1667
462,1601
462,2771
462,2711
462,1564
462,1745
462,1746
462,2971
462,2969
